Doc,Type,Date,Entity,Location,Basis,Narration,AutoReverse,ReverseDate,Account,Debit,Credit,LineText
DOC-1,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue May electricity,Yes,2026-07-01,6030,18000,0,Power & fuel
DOC-1,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue May electricity,Yes,2026-07-01,2010,0,18000,Accrued payable
DOC-2,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue June office rent,Yes,2026-07-01,6020,120000,0,Rent expense
DOC-2,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue June office rent,Yes,2026-07-01,2010,0,120000,Landlord payable
DOC-3,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Amortise prepaid insurance,No,,6035,25000,0,Insurance for the month
DOC-3,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Amortise prepaid insurance,No,,1400,0,25000,Release prepayment
DOC-4,Journal,2026-06-15,Nexa Foods,Mysuru Plant,Accrual,Depreciation - plant & equipment,No,,6080,45000,0,Monthly depreciation
DOC-4,Journal,2026-06-15,Nexa Foods,Mysuru Plant,Accrual,Depreciation - plant & equipment,No,,1590,0,45000,Accumulated depreciation
DOC-5,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue June payroll,Yes,2026-07-01,6010,850000,0,Salaries & wages
DOC-5,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue June payroll,Yes,2026-07-01,2300,0,850000,Salaries payable
DOC-6,Journal,2026-06-15,Nexa Trading,Mumbai Depot,Cash,Bank charges for the month,No,,6900,3500,0,Bank fees
DOC-6,Journal,2026-06-15,Nexa Trading,Mumbai Depot,Cash,Bank charges for the month,No,,1020,0,3500,Current account
DOC-7,Journal,2026-06-15,Nexa Trading,Delhi Branch,Accrual,Accrue campaign marketing spend,Yes,2026-07-01,6040,60000,0,Digital ads
DOC-7,Journal,2026-06-15,Nexa Trading,Delhi Branch,Accrual,Accrue campaign marketing spend,Yes,2026-07-01,2010,0,60000,Agency payable
DOC-8,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,SaaS subscriptions accrual,Yes,2026-07-01,6060,24000,0,Software licences
DOC-8,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,SaaS subscriptions accrual,Yes,2026-07-01,2010,0,24000,Vendor payable
DOC-9,Journal,2026-06-15,Nexa Trading,Mumbai Depot,Accrual,Reclassify conveyance from admin,No,,6070,15000,0,Travel & conveyance
DOC-9,Journal,2026-06-15,Nexa Trading,Mumbai Depot,Accrual,Reclassify conveyance from admin,No,,6035,0,15000,Reverse from office & admin
DOC-10,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue interest on term loan,Yes,2026-07-01,6900,40000,0,Loan interest
DOC-10,Journal,2026-06-15,Nexa Foods,Bengaluru HQ,Accrual,Accrue interest on term loan,Yes,2026-07-01,2010,0,40000,Interest payable
DOC-11,Journal,2026-06-18,Nexa Foods,Bengaluru HQ,Accrual,Accrue statutory audit fees,Yes,2026-07-01,6050,150000,0,Professional fees
DOC-11,Journal,2026-06-18,Nexa Foods,Bengaluru HQ,Accrual,Accrue statutory audit fees,Yes,2026-07-01,2010,0,150000,Auditor payable
DOC-12,Journal,2026-06-18,Nexa Trading,Delhi Branch,Accrual,Recognise deferred service revenue,No,,2400,200000,0,Release unearned revenue
DOC-12,Journal,2026-06-18,Nexa Trading,Delhi Branch,Accrual,Recognise deferred service revenue,No,,4020,0,200000,Service revenue earned
DOC-13,Journal,2026-06-18,Nexa Foods,Mysuru Plant,Accrual,Charge inventory to cost of sales,No,,5010,320000,0,Cost of goods sold
DOC-13,Journal,2026-06-18,Nexa Foods,Mysuru Plant,Accrual,Charge inventory to cost of sales,No,,1200,0,320000,Inventory consumed
DOC-14,Journal,2026-06-18,Nexa Global,Singapore Office,Accrual,Inter-company management recharge,No,,1320,100000,0,Recharge receivable
DOC-14,Journal,2026-06-18,Nexa Global,Singapore Office,Accrual,Inter-company management recharge,No,,4900,0,100000,Other income
DOC-15,Journal,2026-06-18,Nexa Trading,Mumbai Depot,Cash,Settle petty cash expenses,No,,6035,5000,0,Office sundries
DOC-15,Journal,2026-06-18,Nexa Trading,Mumbai Depot,Cash,Settle petty cash expenses,No,,6070,3000,0,Local conveyance
DOC-15,Journal,2026-06-18,Nexa Trading,Mumbai Depot,Cash,Settle petty cash expenses,No,,1015,0,8000,Petty cash float
